"id_album","nome"
"1","Comedy"
"2","Ghost (Acoustic)"
"3","To Begin Again"
"4","Crazy Rich Asians (Original Motion Picture Soundtrack)"
"5","Hold On"
"6","Days I Will Remember"
"7","Is There Anybody Out There?"
"8","We Sing. We Dance. We Steal Things."
"9","Hunger"
"10","Episode"
"11","Love Is a Four Letter Word"
"12","Solo"
"13","Bad Liar"
"14","Hold On (Remix)"
"15","The Boy Who Never"
"16","ily (i love you baby)"
"17","At My Worst"
"18","Cover Sessions, Vol. 4"
"19","Cover Sessions, Vol. 3"
"20","Is There Anybody Out There? - Track by Track Commentary"
"21","Coffee Moment"
"22","Human - Best Adult Pop Tunes"
"23","Mellow Adult Pop"
"24","Holly Jolly Christmas"
"25","Feeling Good - Adult Pop Favorites"
"26","Christmas Time"
"27","Perfect Christmas Hits"
"28","Merry Christmas"
"29","Christmas Music - Holiday Hits"
"30","Christmas Country Songs 2022"
"31","Mellow Bars R'n'B"
"32","Chill Christmas Dinner"
"33","rainy day indie"
"34","sadsadchristmas"
"35","Mega Hits Autumn/Fall 2022"
"36","Country Car Hits"
"37","Country Road Songs"
"38","Finest Country"
"39","Easy Country"
"40","Cozy Country"
"41","Good Times Country"
"42","Laidback Country"
"43","Chillin' It - Mellow Day Country"
"44","Trampoline (Acoustic)"
"45","Documentary"
"46","Black Bear"
"47","The Bedroom Demos"
"48","So Far Away (Acoustic)"
"49","Build It Better"
"50","Sleepwalking in the Rain"
"51","Little Voice"
"52","What's Left of You"
"53","Pano"
"54","The Daylight EP"
"55","Montage Of Heck: The Home Recordings"
"56","Covers"
"57","Midnight Waves"
"58","Making All Things New"
"59","What's Inside: Songs from Waitress"
"60","In My Veins (Feat. Erin Mccarley)"
"61","Under Covers"
"62","Whatever It Takes"
"63","America Town"
"64","Dive Deep"
"65","You're Still The One"
"66","It Doesn't Have To Make Sense"
"67","When the Morning Comes"
"68","Eat, Pray, Love"
"69","Good Light"
"70","Know."
"71","Break Up Songs"
"72","Into The Wild (Music For The Motion Picture)"
"73","u don't deserve me"
"74","The Blessed Unrest"
"75","Slow Christmas Songs 2022"
"76","Lonely Christmas 2022"
"77","Bookmarks"
"78","Alternative Christmas 2022"
"79","Acoustic Christmas Campfire"
"80","Del gusto de mamá"
"81","OO's Music Grandi Successi"
"82","言ノ葉"
"83","Somebody Else (Acoustic)"
"84","Black Bear (Hushed)"
"85","Stand by Me"
"86","Dear Happy"
"87","chouchou"
"88","You’re Beautiful (Acoustic)"
"89","Hikare Inochi"
"90","Songs From Nashville"
"91","Cover Sessions, Vol. 6"
"92","Dive Deep (Hushed)"
"93","When the Party's over (Acoustic Piano)"
"94","All The Stars and Boulevards"
"95","Living in the Shadows"
"96","death bed (coffee for your head)"
"97","You Are My Sunshine"
"98","I Won't Give Up"
"99","I Was Born To Love You"
"100","Life Sucks Playlist"
"101","Hurricane Glass"
"102","Where The Mountain Meets The Valley"
"103","Holding On And Letting Go - Single"
"104","You Already Know"
"105","Believer (Remix)"
"106","Stop All the World Now (Special Edition)"
"107","Magic"
"108","Some Mad Hope"
"109","Something In the Rain (Music from the Original TV Series)"
"110","The Way It Was"
"111","Wide Awake"
"112","Waiting for My Rocket to Come (Expanded Edition)"
"113","English Rain"
"114","Eye To The Telescope"
"115","I Dream of You: CALM"
"116","Here with Me"
"117","Tyler Ward Covers, Vol. 5"
"118","Stop All The World Now"
"119","get better"
"120","Let It Go"
"121","What You Need"
"122","The Battle for Everything"
"123","Nightshade"
"124","One Spring Night (Original Television Soundtrack), Pt. 1"
"125","Under Control"
"126","As It Was"
"127","I'm Yours"
"128","Chi Mai"
"129","Say Something"
"130","Parachute"
"131","Take Me Back"
"132","Whole Again (Acoustic Version)"
"133","Overpass Graffiti"
"134","Let Her Go"
"135","Still Life"
"136","Love Story"
"137","Mujer con Abanico"
"138","In the Shadows"
"139","Can You Feel the Love Tonight"
"140","The Story"
"141","Better"
"142","Iris"
"143","#Acoustic"
"144","I Need You More Today"
"145","When Marnie Was There Song Album - Just Know That I Love You."
"146","Tree House Tapes"
"147","I Believe in You"
"148","Cult Classic"
"149","Hard Settle, Ain't Troubled"
"150","Holding On and Letting Go LP"
"151","In Deepest Blue (Bonus Track Version)"
"152","Hanggang Kailan (Umuwi Ka Na Baby)"
"153","No More Doubt"
"154","Say I Am You"
"155","Thanksgiving Party"
"156","Supa Chill"
"157","Un tecito y a mimir"
"158","青の光景"
"159","Since U Been Gone"
"160","One more time,One more chance"
"161","Creep"
"162","Higher Love"
"163","Shinsekai"
"164","How Long Will I Love You"
"165","Binibini"
"166","You Were Supposed to Be Different"
"167","Barton Hollow"
"168","Be OK"
"169","Give Me Your Forever"
"170","Coffee Shop"
"171","Wreck of the Day"
"172","Beautiful Soul"
"173","Bulletproof"
"174","Girls Like You (Acoustic Version)"
"175","Nangangamba"
"176","Better Together"
"177","Heartbreak Anniversary"
"178","One More Time Around"
"179","流星花園音樂專輯"
"180","The Other Way"
"181","Till The Sun Turns Black"
"182","See You Again, Love Me Like You Do, Sugar (Acoustic Mashup)"
"183","Refuge"
"184","Hand to Hold"
"185","Trouble"
"186","Public Record"
"187","Cover Sessions, Vol. 2"
"188","Medicine"
"189","Part Of The Light"
"190","Amos Lee"
"191","Show Me the Blueprints."
"192","Anchor"
"193","Christmas Faves 2022"
"194","Tall Cans & Loose Ends"
"195","pov: you have a holly jolly christmas"
